"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PN";"SUPPLIER";
"1";"";"LEDSMT1206";"1206";"PWR";"LED";"";"";"";"";"";"";"";
"1";"";"PINHD-1X12";"1X12";"JP3";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X16";"1X16";"JP2";"PIN HEADER";"";"";"";"";"";"";"";
"2";"";"SJW-SHORTED";"SJW-SHORTED";"A0, A1";"SMD solder JUMPER";"";"";"";"";"";"";"";
"1";"0.1";"R-US_M3216";"M3216";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"1";"2x4";"PINHD-2X4";"2X04";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"1";"B3U-10XX";"B3U-10XX";"B3U-10XX";"RESET";"OMRON SWITCH";"";"";"";"";"";"";"";
"1";"CTS746X101";"CTS746X101";"CTS746X101";"RN1";"Network Resistor CTS 746 Series Leadless Surface Mount";"";"";"";"";"";"";"";
"5";"EE2-3TNUH";"EE2-3TNUH";"NUH";"K1, K2, K3, K4, K5";"TX Relay 2 coil latching";"";"";"";"";"";"EE2-3TNUH";"";
"1";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"FEATHERWING_DIM";"MS1";"";"";"";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$2, U$3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";
"1";"INA219AID";"INA219AID";"SOIC127P600X175-8N";"U4";"CURRENT/ POWER MONITOR";"";"INA219AID";"-";"45P7635";"SOIC-8";"";"Texas Instruments";
"1";"KF120-2P";"KF120-2P";"KF120-2P_ROUND";"TB6";"Kaweei KF120-2P";"";"";"";"";"";"";"";
"5";"KF120-6P";"KF120-6P";"KF120-6P_ROUND";"TB1, TB2, TB3, TB4, TB5";"Kaweei KF120-6P";"";"";"";"";"";"";"";
"1";"MCP23017SS";"MCP23017SS";"SSOP28";"U3";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"MICROCHIP";"MCP23017-E/SS";"1467674";"31K2960";"";"";"";
"2";"MUR-1220-CAP";"MUR-1220-CAP";"CAPC2012";"C1, C2";"CAPACITOR, 0805";"";"";"";"";"";"";"";
"2";"ULN2003ANS";"ULN2003ANS";"SO16-NS";"U1, U2";"DRIVER ARRAY";"";"";"";"";"";"";"";
